"product","record_date","open_value"
33,"2020-10-08",13.0
33,"2020-10-09",13.05
33,"2020-10-12",13.13
33,"2020-10-13",13.08
33,"2020-10-14",13.05
33,"2020-10-15",13.02
33,"2020-10-16",13.03
33,"2020-10-19",13.03
33,"2020-10-20",12.98
33,"2020-10-21",12.96
33,"2020-10-22",13.0
33,"2020-10-23",13.04
33,"2020-10-26",12.9
33,"2020-10-27",12.86
33,"2020-10-28",12.63
33,"2020-10-29",12.69
33,"2020-10-30",12.63
33,"2020-11-02",12.73
33,"2020-11-03",12.88
33,"2020-11-04",13.0
33,"2020-11-05",13.18
33,"2020-11-06",13.18
33,"2020-11-09",13.37
33,"2020-11-10",13.39
33,"2020-11-11",13.44
33,"2020-11-12",13.35
33,"2020-11-13",13.44
33,"2020-11-16",13.56
33,"2020-11-17",13.54
33,"2020-11-18",13.48
33,"2020-11-19",13.53
33,"2020-11-20",13.51
33,"2020-11-23",13.56
33,"2020-11-24",13.69
33,"2020-11-25",13.67
33,"2020-11-27",13.7
36,"2020-01-02",9.68
36,"2020-01-03",9.72
36,"2020-01-06",9.71
36,"2020-01-07",9.7
36,"2020-01-08",9.68
36,"2020-01-09",9.69
36,"2020-01-10",9.71
36,"2020-01-13",9.7
36,"2020-01-14",9.71
36,"2020-01-15",9.73
36,"2020-01-16",9.72
36,"2020-01-17",9.71
36,"2020-01-21",9.74
36,"2020-01-22",9.74
36,"2020-01-23",9.75
36,"2020-01-24",9.78
36,"2020-01-27",9.8
36,"2020-01-28",9.79
36,"2020-01-29",9.81
36,"2020-01-30",9.82
36,"2020-01-31",9.84
36,"2020-02-03",9.84
36,"2020-02-04",9.8
36,"2020-02-05",9.78
36,"2020-02-06",9.79
36,"2020-02-07",9.82
36,"2020-02-10",9.83
36,"2020-02-11",9.81
36,"2020-02-12",9.8
36,"2020-02-13",9.8
36,"2020-02-14",9.82
36,"2020-02-18",9.83
36,"2020-02-19",9.82
36,"2020-02-20",9.83
36,"2020-02-21",9.86
36,"2020-02-24",9.9
36,"2020-02-25",9.92
36,"2020-02-26",9.93
36,"2020-02-27",9.93
36,"2020-02-28",9.99
36,"2020-03-02",10.0
36,"2020-03-03",10.03
36,"2020-03-04",10.04
36,"2020-03-05",10.07
36,"2020-03-06",10.16
36,"2020-03-09",10.18
36,"2020-03-10",10.06
36,"2020-03-11",10.0
36,"2020-03-12",9.91
36,"2020-03-13",9.87
36,"2020-03-16",9.88
36,"2020-03-17",9.74
36,"2020-03-18",9.56
36,"2020-03-19",9.53
36,"2020-03-20",9.5
36,"2020-03-23",9.57
36,"2020-03-24",9.58
36,"2020-03-25",9.6
36,"2020-03-26",9.69
36,"2020-03-27",9.74
36,"2020-03-30",9.8
36,"2020-03-31",9.83
36,"2020-04-01",9.85
36,"2020-04-02",9.85
36,"2020-04-03",9.86
36,"2020-04-06",9.84
36,"2020-04-07",9.84
36,"2020-04-08",9.84
36,"2020-04-09",9.91
36,"2020-04-13",9.92
36,"2020-04-14",9.92
36,"2020-04-15",9.96
36,"2020-04-16",9.97
36,"2020-04-17",9.94
36,"2020-04-20",9.95
36,"2020-04-21",9.97
36,"2020-04-22",9.95
36,"2020-04-23",9.96
36,"2020-04-24",9.96
36,"2020-04-27",9.93
36,"2020-04-28",9.96
36,"2020-04-29",9.96
36,"2020-04-30",9.96
36,"2020-05-01",9.95
36,"2020-05-04",9.95
36,"2020-05-05",9.94
36,"2020-05-06",9.91
36,"2020-05-07",9.95
36,"2020-05-08",9.93
36,"2020-05-11",9.9
36,"2020-05-12",9.93
36,"2020-05-13",9.94
36,"2020-05-14",9.96
36,"2020-05-15",9.95
36,"2020-05-18",9.92
36,"2020-05-19",9.95
36,"2020-05-20",9.97
36,"2020-05-21",9.98
36,"2020-05-22",9.98
36,"2020-05-26",9.97
36,"2020-05-27",9.98
36,"2020-05-28",9.97
36,"2020-05-29",10.0
36,"2020-06-01",10.0
36,"2020-06-02",9.99
36,"2020-06-03",9.97
36,"2020-06-04",9.95
36,"2020-06-05",9.95
36,"2020-06-08",9.97
36,"2020-06-09",10.0
36,"2020-06-10",10.03
36,"2020-06-11",10.04
36,"2020-06-12",10.02
36,"2020-06-15",10.02
36,"2020-06-16",10.03
36,"2020-06-17",10.04
36,"2020-06-18",10.05
36,"2020-06-19",10.06
36,"2020-06-22",10.05
36,"2020-06-23",10.05
36,"2020-06-24",10.06
36,"2020-06-25",10.06
36,"2020-06-26",10.07
36,"2020-06-29",10.07
36,"2020-06-30",10.07
